HPO,UMLS
0001080,C0005424
0001081,C0008350
0001082,C0008325
0001083,C0013581
0001084,C0003742
0001085,C0030353
0001087,C0020302
0001088,C1303007
0001089,C0423319
0001090,C0423221
0001092,C0344509
0001093,C2676026
0001094,C0022073
0001095,C0152132
0001096,C0022573
0001097,C0013238
0001098,C4025804
0001099,C2673929
0001100,C0423318
0001101,C0022081
0001102,C0002982
0001103,C0730362
0001104,C1849412
0001105,C0035304
0001106,C1844606
0001107,C0078917
0001112,C0917796
0001113,NA
0001114,C0155210
0001115,C1850191
0001116,C1852767
0001117,C4025803
0001118,C0302254
0001119,C3887531
0001120,C4025802
0001122,NA
0001123,C3887875
0001125,C1865332
0001126,C0311249
0001128,C0221259
0001129,C4025800
0001131,C0010036
0001132,C0023316
0001133,C0235095
0001134,C1855179
0001135,C1857627
0001136,C1843517
0001137,C0152205
0001138,C3887709
0001139,C0008525
0001140,C0496897
0001141,C1301509
0001142,C0239119
0001144,C0155285
0001145,NA
0001146,NA
0001147,C0240897
0001149,C0155127
0001150,NA
0001151,C1866753
0001152,C1836479
0001153,C0266411
0001155,C0018564
0001156,C0221357
0001159,C0039075
0001161,C0158733
0001162,C0431904
0001163,C4021785
0001166,C0003706
0001167,C2674737
0001169,C0264142
0001171,C0221373
0001172,C0575897
0001176,C0426870
0001177,C1395852
0001178,C4025799
0001180,C0728895
0001181,C3554617
0001182,C0426886
0001187,C1844577
0001188,C0239815
0001191,C1840535
0001193,C4048199
0001194,C4025798
0001195,C1384670
0001196,C0266786
0001197,C4025797
0001199,C0241397
0001204,C1862158
0001211,C4025796
0001212,C1835807
0001215,C1859368
0001216,C1841684
0001217,C0149651
0001218,C1833222
0001220,C4021784
0001222,C0241395
0001223,C1854787
0001225,C0241760
0001226,NA
0001227,C4021783
0001230,C1842229
0001231,C4021782
0001232,C1838167
0001233,C0432055
0001234,C1857269
0001238,C1857482
0001239,C0409345
0001241,C1857002
0001245,C1846474
0001248,C4025795
0001249,C0025362
0001250,C0014544
0001251,C0007758
0001252,C0026827
0001254,C0023380
0001256,C0026106
0001257,C0026838
0001258,C0037772
0001259,C0009421
0001260,C0013362
0001262,C2830004
0001263,C0557874
0001264,C0023882
0001265,C0700078
0001266,C0085583
0001268,C0234985
0001269,C0018989
0001270,C1854301
0001271,C0031117
0001272,C0262404
0001273,C1842581
0001274,C0175754
0001276,C0026826
0001278,C0020651
0001279,C0039070
0001281,C0039621
0001283,C1301959
0001284,C0234146
0001285,C0575059
0001287,C0025289
0001288,C0575081
0001289,C0009676
0001290,C1858120
0001291,C1854510
0001293,C0521670
0001297,C0038454
0001298,C0085584
0001300,C0242422
0001301,C4025794
0001302,C0266483
0001304,C0013423
0001305,C0010964
0001308,C0239548
0001310,C0234162
0001311,C4021781
0001312,C3806961
0001315,C1866934
0001317,C0742038
0001319,C2267233
0001320,C1840379
0001321,C0266470
0001322,NA
0001324,C0151786
0001325,C0020617
0001326,C4025792
0001327,C4025791
0001328,C4025790
0001331,C0431371
0001332,C0013421
0001334,C0009451
0001335,C0454455
0001336,C0027066
0001337,C0040822
0001338,C0431368
0001339,C0266463
0001340,C3552824
0001341,C1855331
0001342,C0553692
0001343,C0022610
0001344,C0746940
0001345,C4025789
0001347,C0151889
0001348,C2673700
